100	    0.044	        1	            87	-2.5	0.01	0.012
300	    0.13	        0.994	        84	-8.45	0.01	0.012
500	    0.214	        0.979	        77	-11	    0.01	0.011
1000	0.4	            0.919	        67	-24	    0.011	0.011
2000	0.66	        0.758	        49	-42	    0.012	0.010
4000	0.8931451613	0.4989919355	31	-61	    0.014	0.008
10000	0.9828629032	0.2278225806	14	-79	    0.014	0.006
20000	1.004048583	    0.1214574899	7.5	-86	    0.014	0.006
40000	1.008064516	    0.06048387097	3.5	-89 	0.014	0.006
80000	1.007049345	    0.04028197382	1	-91	    0.014	0.006
